Name,Country,Market Value
Isetan Mitsukoshi Holdings,Japan,4.21
Taiwan Business Bank,Taiwan,1.643
CalAtlantic Group,United States,4.281
Waste Connections,Canada,15.403
NÃ¼rnberger,Germany,0.837
KION Group,Germany,7.094
International Flavors & Fragrances,United States,10.444
China National Materials,China,1.273
Prada,Italy,11.427
Indorama Ventures,Thailand,4.905
Korea Zinc,South Korea,6.543
Nomura Research Institute,Japan,8.987
Tingyi Holding,China,7.617
Tenneco,United States,3.188
Cullen/Frost Bankers,United States,5.678
First Pacific,Hong Kong,3.284
Logan Property Holdings,China,3.112
DGB Financial Group,South Korea,1.692
Shanghai Fosun Pharmaceutical (group),China,9.822
Central Puerto,Argentina,20.23
Xishui Strong Year Ltd. Inner Mongolia,China,2.399
China Mengniu Dairy,Hong Kong,7.709
Securitas,Sweden,5.775
AmBank Group,Malaysia,3.296
Ningbo Port,China,10.769
Penn Virginia,United States,0.732
Chongqing New Century Cruise,China,19.971
Jacobs Engineering,United States,6.6
Red Star Macalline Group,China,4.053
Virgin Money Holdings,United Kingdom,1.667
Mattel,United States,8.535
Credit Saison,Japan,3.266
Mirvac Group,Australia,6.317
Hyakujushi Bank,Japan,0.961
GameStop,United States,2.192
Asian Paints,India,16.142
Frasers Centrepoint,Singapore,3.698
Xiamen Xiangyu,China,1.924
Credito Emiliano,Italy,2.232
Remgro,South Africa,8.379
Core-Mark Holding Company,United States,1.429
Kiyo Bank,Japan,1.008
SYNNEX,United States,4.17
Shenzhou International Group Holdings,China,9.075
Damac Properties,United Arab Emirates,4.744
Aboitiz Equity Ventures,Philippines,8.381
HD Supply Holdings,United States,8.077
RioCan Real Estate Investment Trust,Canada,6.4
Emera,Canada,7.429
Grupo Zuliano,Venezuela,0.072
InterContinental Hotels,United Kingdom,9.649
Impulsora del Desarrollo y el Empleo en America Latina SAB Class B,Mexico,4.929
Accor,France,12.081
Liberbank,Spain,1.148
Bandai Namco Holdings,Japan,6.477
Zenith Bank,Nigeria,1.479
Fullshare Holdings,Hong Kong,8.582
Hologic,United States,11.94
Keiyo Bank,Japan,1.116
Banque Centrale Populaire,Morocco,4.701
Owens Corning,United States,6.794
Autodesk,United States,18.726
Yonghui Superstores,China,7.977
Banca Popolare di Sondrio,Italy,1.548
VeriSign,United States,8.929
Antofagasta,United Kingdom,10.616
Fuyao Glass Industry Group,China,8.41
Bank of Queensland,Australia,3.491
Angang Steel,China,5.289
Kingboard Chemical Holdings,Hong Kong,4.009
Wanhua Chemical Group,China,9.524
Habib Bank,Pakistan,3.74
Umicore,Belgium,6.048
Popular,Puerto Rico,4.161
Chesapeake Energy,United States,5.63
Golden Agri-Resources,Singapore,3.315
Far Eastern New Century,Taiwan,4.544
Musashino Bank,Japan,0.952
JB Financial Group,South Korea,0.799
Basler Kantonalbank,Switzerland,3.009
Indian Overseas Bank,India,1.04
Bid Corp.,South Africa,6.664
Marine Harvest ASA,Norway,7.007
Nippon Paper Industries,Japan,2.091
TAQA,United Arab Emirates,0.941
United Aircraft,Russia,4.423
Inventec,Taiwan,2.566
Bluescope Steel,Australia,5.126
Hanwa,Japan,1.441
Makita,Japan,9.524
China Railway Signal & Communication,China,7.251
Shanghai Industrial Holdings,Hong Kong,3.307
Xiamen International Trade Group,China,2.179
Hokkoku Bank,Japan,1.075
Dali Foods Group,China,8.019
Commercial Bank of Qatar,Qatar,3.353
Industrias PeÃ±oles,Mexico,10.365
Allahabad Bank,India,0.838
Avery Dennison,United States,7.113
Merlin Properties SOCIMI S.A,Spain,5.426
Petro Rabigh,Saudi Arabia,3.02
Phosagro,Russia,5.502
UCO Bank,India,0.905
China Molybdenum,China,10.996
NH Investment & Securities,South Korea,2.991
Japan Securities,Japan,0.514
Corporation Bank,India,0.98
Public Power,Greece,0.754
Tongling Nonferrous Metals,China,4.928
Zhongsheng Group Holdings,China,3.083
Alawwal Bank,Saudi Arabia,3.35
Oriental Bank of Commerce,India,0.769
Paramount Res,Canada,1.407
Toyota Boshoku,Japan,4.046
JC Penney,United States,1.796
Spectrum Brands Holdings,United States,8.145
G4S,United Kingdom,5.957
Jabal Omar Development,Saudi Arabia,16.866
Guoco Group,Hong Kong,3.811
Two Harbors Investment,United States,3.36
Beijing Capital Development,China,4.857
Hellenic Petroleum,Greece,1.723
Enka,Turkey,6.806
Jilin Jiutai Rural Commercial Bank,China,2.687
Innolux,Taiwan,4.241
Luzerner Kantonalbank,Switzerland,3.603
China Resources Gas Group,Hong Kong,7.957
First Quantum Minerals,Canada,7.367
ST Engineering,Singapore,8.048
Delek Group,Israel,2.793
Lanxess,Germany,6.248
Extra Space Storage,United States,9.83
Financial Street Holdings,China,4.952
Burberry Group,United Kingdom,9.632
Petronas Gas,Malaysia,8.789
Workday,United States,16.587
GS Engineering,South Korea,1.95
Hokkaido Electric Power,Japan,1.511
Lonza Group,Switzerland,10.931
FIBI Holdings,Israel,0.732
GEA Group,Germany,8.591
Mid-america Apartment Communities,United States,11.574
Vietnam Dairy Products,Vietnam,9.134
Sumitomo Rubber,Japan,4.475
Areva,France,1.725
Leidos,United States,7.619
Reliance Steel,United States,5.795
Kroton Educacional,Brazil,7.062
Laurentian Bank,Canada,1.487
Babcock International Group,United Kingdom,5.529
Fabege AB,Sweden,2.689
First Citizens BancShares,United States,3.947
Hella Kgaa Hueck &,Germany,4.918
BOK Financial,United States,5.005
Jazz Pharmaceuticals,Ireland,9.187
Toho Holdings,Japan,1.636
Microchip Technology,United States,16.029
Shanghai International Airport,China,8.575
Atmos Energy,United States,8.435
Amdocs,United States,8.961
Kuwait Projects,Kuwait,2.108
China Aviation Oil,Singapore,1.006
Hakuhodo DY Holdings,Japan,4.425
MMI Holdings,South Africa,2.457
Chinese Estates,Hong Kong,2.966
TP ICAP,United Kingdom,3.081
Technipfmc,United Kingdom,15.631
Murphy USA,United States,2.716
Bank of Nagoya,Japan,0.669
Emirates Integrated Telecom,United Arab Emirates,7.455
St Galler Kantonalbank,Switzerland,2.301
Ares Capital,United States,7.492
Aroundtown Property Holdings,Germany,3.351
GOME Electrical Appliances Holding,Hong Kong,3.082
Greentown China Holdings,China,2.135
Jiangsu Expressway,China,7.197
Premier,United States,4.487
China Agri-Industries,Hong Kong,2.703
Pou Chen,Taiwan,4.133
Aldar Properties,United Arab Emirates,4.881
Tomony Holdings,Japan,0.809
Vereit,United States,8.466
BioMarin Pharmaceutical,United States,15.204
Steel Authority of India,India,4.271
Doha Bank,Qatar,2.23
Jaccs,Japan,0.703
Indiabulls Housing Finance,India,6.307
Red Hat,United States,15.138
Korea Investment Holdings,South Korea,2.44
Indian Bank,India,2.024
Kesko,Finland,4.499
Minato Bank,Japan,0.734
Andhra Bank,India,0.616
US Steel,United States,5.908
Verbund,Austria,6.084
Saudi Investment Bank,Saudi Arabia,2.598
BMCE Bank,Morocco,3.525
NH Foods,Japan,5.565
Thomas Cook Group,United Kingdom,1.601
Manila Electric,Philippines,6.256
Arab Banking,Bahrain,1.088
Synovus Financial,United States,4.971
Western Union,United States,9.22
Pearson,United Kingdom,6.519
Banca IFIS,Italy,2.071
Motherson Sumi Systems,India,8.273
SBA Communications,United States,14.662
Advanced Micro Devices,United States,12.728
HBC,Canada,1.457
Total System Services,United States,9.659
Sinopec Oilfield Service,China,7.037
Westar Energy,United States,7.716
Group 1 Automotive,United States,1.42
Dollarama,Canada,9.738
Shanghai RAAS Blood Products,China,14.452
Associated Banc-Corp,United States,3.605
DVB Bank,Germany,1.167
RenaissanceRe Holdings,Bermuda,5.747
Global Payments,United States,11.884
Commerce Bancshares,United States,5.643
ServiceNow,United States,14.28
Samsung SDI,South Korea,8.513
China Great Wall Computer,China,4.374
Tian An China Investments,Hong Kong,1.229
HollyFrontier,United States,4.738
Dah Sing Financial Holdings,Hong Kong,2.564
Nanya Technology,Taiwan,4.307
Shanxi Taigang Stainless,China,4.087
First Horizon National,United States,4.295
Brother Industries,Japan,5.184
Chicago Bridge & Iron,Netherlands,3.056
Belle International Holdings,Hong Kong,5.406
F5 Networks,United States,8.878
Valspar,United States,8.837
DKSH Holding,Switzerland,5.085
Grupo Galicia,Argentina,5.134
Bank of Iwate,Japan,0.721
Konica Minolta Business Solutions,Japan,4.281
Synnex Technology Intl,Taiwan,1.803
Eurazeo,France,4.513
Bankunited,United States,3.867
Barry Callebaut,Switzerland,7.262
Inchcape,United Kingdom,4.359
Yamanashi Chuo Bank,Japan,0.739
Guangxi Guiguan Electric Power,China,6
Live Nation Entertainment,United States,6.351
Shaanxi Coal Industry,China,9.031
Aurubis,Germany,3.051
BEKB-BCBE,Switzerland,1.689
Fastighets Balder,Sweden,3.838
Akamai Technologies,United States,10.087
Oita Bank,Japan,0.595
Tech Mahindra,India,6.723
