Name,Country,Market Value
Carrefour,France,16.643
Celgene,United States,97.697
China Evergrande Group,China,14.58
Takeda Pharmaceutical,Japan,36.874
SK Hynix,South Korea,31.958
Saudi Telecom,Saudi Arabia,37.335
Tyson Foods,United States,24.171
Sinohydro Group,China,16.488
Reckitt Benckiser Group,United Kingdom,64.132
CSX,United States,43.784
Freddie Mac,United States,1.534
Lincoln National,United States,14.796
Kinder Morgan,United States,48.131
Power Corp of Canada,Canada,10.812
BP,United Kingdom,114.695
Chevron,United States,206.083
Michelin Group,France,21.574
Cheung Kong Property Holdings,Hong Kong,26.239
SK Holdings,South Korea,14.658
Gree Electric Appliances,China,27.738
BAE Systems,United Kingdom,25.56
Bank Of Jiangsu,China,16.55
Edison International,United States,26.146
Kansai Electric Power,Japan,11.268
New China Life Insurance,China,17.605
Starbucks,United States,84.558
Centrica,United Kingdom,14.817
Biogen,United States,58.02
Canadian National Railway,Canada,55.897
HDFC,India,36.705
Novo Nordisk,Denmark,88.213
Swedbank,Sweden,25.061
Tata Consultancy Services,India,74.475
Monsanto,United States,50.934
Mastercard,United States,121.331
Femsa,Mexico,33.098
PayPal,United States,51.673
Progressive,United States,22.824
Svenska Handelsbanken,Sweden,25.853
Mitsui Fudosan,Japan,21.077
SEB,Sweden,23.761
Bank Rakyat Indonesia,Indonesia,24.166
Texas Instruments,United States,80.501
Wilmar International,Singapore,16.144
Daiwa House Industry,Japan,19.056
Baidu,China,59.921
Consolidated Edison,United States,23.756
Maybank,Malaysia,20.661
DISH Network,United States,29.11
Citic Securities,China,27.907
American Electric,United States,33.102
Suzuki Motor,Japan,19.945
VTB Bank,Russia,14.861
Metallurgical Corp of China,China,15.403
Petrobras,Brazil,61.278
Norfolk Southern,United States,36.012
TJX Cos,United States,49.123
Investor AB,Sweden,32.186
American International Group,United States,60.086
Sempra Energy,United States,27.486
International Airlines,United Kingdom,13.687
SSE,United Kingdom,18.712
eBay,United States,36.599
NTPC,India,21.533
Old Mutual,United Kingdom,11.724
Magna International,Canada,15.3
China Yangtze Power,China,42.318
NN Group,Netherlands,10.309
Sumitomo Mitsui Trust,Japan,12.827
General Mills,United States,33.214
Talanx,Germany,8.916
The Priceline Group,United States,87.009
EXOR,Italy,11.944
Glencore International,Switzerland,57.278
Vodafone,United Kingdom,67.036
Huaneng Power International,China,14.429
Standard Bank Group,South Africa,15.938
Swiss Life Holding,Switzerland,10.245
FirstRand,South Africa,18.198
Sysco,United States,27.978
International Paper,United States,20.772
Vivendi,France,24.17
Kimberly-Clark,United States,46.721
National Commercial Bank,Saudi Arabia,20.641
Erste Group Bank,Austria,13.515
Baoshan Iron & Steel,China,21.434
Eni,Italy,58.229
Saudi Electricity,Saudi Arabia,26.597
Corning,United States,24.854
Daikin Industries,Japan,28.375
Mitsubishi Chemical,Japan,11.067
Becton Dickinson,United States,39.183
SK Innovation,South Korea,13.513
Humana,United States,30.408
Emerson Electric,United States,38.291
Nippon Steel & Sumitomo Metal,Japan,20.227
Deutsche Bank,Germany,34.005
Toyota Industries,Japan,14.838
Pernod Ricard,France,31.356
Aon,United Kingdom,31.418
IntercontinentalExchange,United States,36.185
Stryker,United States,48.787
Fujifilm Holdings,Japan,18.097
Fosun International,China,13.135
Sony,Japan,40.441
Chubu Electric Power,Japan,10.012
Las Vegas Sands,United States,44.623
Xcel Energy,United States,22.545
Fifth Third Bancorp,United States,18.773
Bouygues,France,14.468
ENGIE,France,34.776
Steinhoff International,Netherlands,21.094
Wheelock,Hong Kong,16.714
Marsh & McLennan,United States,37.836
CBS,United States,29.499
Fujitsu,Japan,12.479
Statoil,Norway,56.24
Wesfarmers,Australia,37.822
Axis Bank,India,18.788
HeidelbergCement,Germany,18.546
Illinois Tool Works,United States,45.535
Formosa Petrochemical,Taiwan,33.596
Marriott International,United States,34.881
Adidas,Germany,39.605
CLP Holdings,Hong Kong,26.76
Thomson Reuters,United States,31.352
Kering,France,33.671
Colgate-Palmolive,United States,64.944
Richemont,Switzerland,44.337
Shin-Etsu Chemical,Japan,36.212
Mapfre,Spain,10.515
Poste Italiane,Italy,8.639
Aisin Seiki,Japan,13.159
Mitsubishi,Japan,34.711
Mitsubishi Estate,Japan,25.434
PPL,United States,25.373
Waste Management,United States,32.344
Micron Technology,United States,31.552
Larsen & Toubro,India,24.503
Aegon,Netherlands,9.958
Teva Pharmaceutical,Israel,32.422
Compass Group,United Kingdom,31.115
Suncor Energy,Canada,51.686
EDP-Energias de Portugal,Portugal,12.271
Syngenta,Switzerland,40.907
Tenaga Nasional,Malaysia,17.435
Credit Suisse Group,Switzerland,30.142
Hana Financial Group,South Korea,9.654
Sampo,Finland,26.458
Bank Mandiri,Indonesia,21.369
Schlumberger,United States,109.201
UniCredit Group,Italy,33.346
M&T Bank,United States,23.529
Thales,France,20.594
Applied Materials,United States,42.038
Royal Bank of Scotland,United Kingdom,34.971
SK Telecom,South Korea,16.325
TE Connectivity,Switzerland,25.976
Caterpillar,United States,56.021
China Merchants Shekou Industrial Zone Holdings,China,20.841
Ecolab,United States,36.33
H&M,Sweden,39.938
Omnicom Group,United States,20.104
Chinatrust Financial,Taiwan,11.825
Komatsu,Japan,24.277
Haitong Securities,China,22.872
Grupo ACS,Spain,11.168
Resona Holdings,Japan,11.669
Bharti Airtel,India,21.445
Deutsche Lufthansa,Germany,7.416
Al Rajhi Bank,Saudi Arabia,27.635
Swisscom,Switzerland,22.501
Couche Tard,Canada,25.856
Loews,United States,15.905
ConocoPhillips,United States,61.283
Baxter International,United States,28.61
Praxair,United States,33.905
Kyocera,Japan,19.884
Garanti Bank,Turkey,10.192
China Unicom,Hong Kong,33.778
CIC Group,France,7.882
Kubota,Japan,18.47
Isbank,Turkey,7.907
Astellas Pharma,Japan,27.98
CNOOC,Hong Kong,54.818
Simon Property Group,United States,53.039
ASML Holding,Netherlands,56.8
British Sky Broadcasting,United Kingdom,20.642
Cummins,United States,25.102
China Zheshang Bank,China,9.754
Standard Chartered,United Kingdom,30.249
Tokyo Electric Power,Japan,6.135
Cognizant Technology,United States,35.563
Viacom,United States,17.967
Sasol,South Africa,19.845
Public Service Enterprise Group,United States,22.638
Coal India,India,27.448
Novatek,Russia,38.983
Kirin Holdings,Japan,17.388
T&D Holdings,Japan,9.156
Mitsui,Japan,26.167
Regions Financial,United States,17.404
Ingersoll Rand,Ireland,21.441
CenturyLink,United States,13.413
Bank of Nanjing,China,10.46
Dongfeng Motor Group,China,9.359
Citizens Financial Group,United States,17.638
Swire Pacific,Hong Kong,15.081
RELX Group,United Kingdom,40.929
Samsung Fire & Marine,South Korea,10.396
Associated British Foods,United Kingdom,24.369
Standard Life,United Kingdom,9.043
Ally Financial,United States,9.089
MÃ¸ller-Maersk,Denmark,35.046
Ecopetrol,Colombia,19.658
National Bank of Canada,Canada,14.255
Sumitomo Electric,Japan,12.453
Shire,Ireland,51.264
Akzo Nobel,Netherlands,21.357
Bank Central Asia,Indonesia,32.111
Marubeni,Japan,10.693
DTE Energy,United States,18.472
KoÃ§ Holding,Turkey,10.386
Unum,United States,10.627
Best Buy,United States,14.905
